1 identifier l
1 operators :=
1 number 3
1 operators /
1 number 2
1 operators ;
2 reserve_words read
2 identifier r
2 operators ;
3 reserve_words repeat
4 reserve_words write
4 identifier l
4 operators ;
5 identifier l
5 operators :=
5 identifier l
5 operators +
5 number 1
6 reserve_words until
6 operators (
6 identifier l
6 operators <
6 identifier r
6 operators )
6 operators ;
9 identifier eps
9 operators :=
9 number 1
9 operators ;
11 reserve_words read
11 identifier x
11 operators ;
12 reserve_words if
12 operators (
12 identifier x
12 operators <
12 number 0
12 operators )
13 reserve_words then
14 reserve_words write
14 identifier -1
15 reserve_words else
16 identifier l
16 operators :=
16 number 0
16 operators ;
17 identifier r
17 operators :=
17 identifier x
17 operators ;
18 reserve_words repeat
19 identifier mid
19 operators :=
19 operators (
19 identifier l
19 operators +
19 identifier r
19 operators )
19 operators /
19 number 2
19 operators ;
20 reserve_words if
20 operators (
20 identifier mid
20 operators *
20 identifier mid
20 operators >
20 identifier x
20 operators )
21 reserve_words then
22 identifier r
22 operators :=
22 identifier mid
23 reserve_words else
24 identifier l
24 operators :=
24 identifier mid
25 reserve_words end
26 reserve_words until
26 operators (
26 identifier r-l
26 operators >
26 identifier eps
26 operators )
26 operators ;
27 reserve_words write
27 identifier l
28 reserve_words end
